종목코드	기업명	업종
2150	도화엔지니어링	"건축기술, 엔지니어링 및 관련 기술 서비스업"
6620	동구바이오제약	의약품 제조업
100130	동국S&C	"구조용 금속제품, 탱크 및 증기발생기 제조업"
5160	동국산업	1차 철강 제조업
1620	동국실업	자동차 신품 부품 제조업
75970	동국알앤에스	비금속 광물제품 제조업
1230	동국제강	1차 철강 제조업
86450	동국제약	의약품 제조업
23450	동남합성	기초 화학물질 제조업
4140	동방	도로 화물 운송업
99410	동방선기	선박 및 보트 건조업
7590	동방아그로	"비료, 농약 및 살균, 살충제 제조업"
5960	동부건설	토목 건설업
281740	동부스팩5호	금융 지원 서비스업
16380	동부제철	1차 철강 제조업
83370	동북아12호선박투자	운송장비 임대업
83380	동북아13호선박투자	운송장비 임대업
26960	동서	음·식료품 및 담배 도매업
2210	동성제약	의약품 제조업
102260	동성코퍼레이션	회사 본부 및 경영 컨설팅 서비스업
33500	동성화인텍	기초 화학물질 제조업
5190	동성화학	기초 화학물질 제조업
25950	동신건설	토목 건설업
640	동아쏘시오홀딩스	금융업
170900	동아에스티	의약품 제조업
88130	동아엘텍	특수 목적용 기계 제조업
28100	동아지질	기반조성 및 시설물 축조관련 전문공사업
282690	동아타이어	고무제품 제조업
41930	동아화성	고무제품 제조업
1520	동양	"시멘트, 석회, 플라스터 및 그 제품 제조업"
84670	동양고속	육상 여객 운송업
30790	동양네트웍스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
2900	동양물산기업	특수 목적용 기계 제조업
82640	동양생명	보험업
60380	동양에스텍	1차 철강 제조업
79960	동양이엔피	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
8970	동양철관	1차 철강 제조업
228340	동양파일	"시멘트, 석회, 플라스터 및 그 제품 제조업"
92780	동양피스톤	자동차용 엔진 및 자동차 제조업
104460	동양피엔에프	일반 목적용 기계 제조업
88910	동우팜투테이블	"도축, 육류 가공 및 저장 처리업"
94170	동운아나텍	반도체 제조업
49770	동원F&B	식품 제조업
13120	동원개발	건물 건설업
18500	동원금속	자동차 신품 부품 제조업
6040	동원산업	어로 어업
30720	동원수산	어로 어업
14820	동원시스템즈	플라스틱제품 제조업
163560	동일고무벨트	고무제품 제조업
109860	동일금속	금속 주조업
32960	동일기연	전자부품 제조업
1530	동일방직	방적 및 가공사 제조업
4890	동일산업	1차 철강 제조업
2690	동일제강	1차 철강 제조업
23790	동일철강	1차 철강 제조업
5290	동진쎄미켐	기초 화학물질 제조업
25900	동화기업	나무제품 제조업
20	동화약품	의약품 제조업
150	두산	회사 본부 및 경영 컨설팅 서비스업
11160	두산건설	건물 건설업
241560	두산밥캣	금융업
42670	두산인프라코어	특수 목적용 기계 제조업
34020	두산중공업	일반 목적용 기계 제조업
16740	두올	자동차 신품 부품 제조업
78590	두올산업	자동차 신품 부품 제조업
270020	두원석재	토사석 광업
73190	듀오백	가구 제조업
176750	듀켐바이오	의약품 제조업
30350	드래곤플라이	소프트웨어 개발 및 공급업
203650	드림시큐리티	소프트웨어 개발 및 공급업
192650	드림텍	전자부품 제조업
220110	드림티엔터테인먼트	"그외 전문, 과학 및 기술 서비스업"
217620	디딤	음식점업
187870	디바이스이엔지	특수 목적용 기계 제조업
66670	디스플레이텍	전자부품 제조업
24090	디씨엠	1차 철강 제조업
3160	디아이	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
92200	디아이씨	자동차 신품 부품 제조업
110990	디아이티	특수 목적용 기계 제조업
263690	디알젬	의료용 기기 제조업
214680	디알텍	의료용 기기 제조업
263720	디앤씨미디어	"서적, 잡지 및 인쇄물 출판업"
109740	디에스케이	특수 목적용 기계 제조업
33430	디에스티	특수 목적용 기계 제조업
90710	디에스티로봇	특수 목적용 기계 제조업
131030	디에이치피코리아	의약품 제조업
196490	디에이테크놀로지	특수 목적용 기계 제조업
66900	디에이피	전자부품 제조업
